StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent_1,Consent_2,Consent_3,MTurkID,Sports_Filter,attention_check_1,attention_check_2_1,attention_check_2_2,Control_time_First Click,Control_time_Last Click,Control_time_Page Submit,Control_time_Click Count,Reduced_time_First Click,Reduced_time_Last Click,Reduced_time_Page Submit,Reduced_time_Click Count,Ranking_time_First Click,Ranking_time_Last Click,Ranking_time_Page Submit,Ranking_time_Click Count,Categorization_time_First Click,Categorization_time_Last Click,Categorization_time_Page Submit,Categorization_time_Click Count,Buffer_time_First Click,Buffer_time_Last Click,Buffer_time_Page Submit,Buffer_time_Click Count,Buffer_list,Count,Buffer_words_correct,Buffer_list_time_First Click,Buffer_list_time_Last Click,Buffer_list_time_Page Submit,Buffer_list_time_Click Count,Initial_Retention,Valued_Retention,Renewal Liklihood_1,Gender,Age,Race,Education,Bonus_Survey,Save MTurk,mturkcode,condition,label,reduced_list,ranking,categorization
2021-11-08 13:34:23,2021-11-08 13:34:24,Survey Test,,100,1,1,2021-11-08 13:34:24,R_eER8gmG38Z2ut2m,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92243,,,,,
2021-11-08 13:34:24,2021-11-08 13:34:24,Survey Test,,100,0,1,2021-11-08 13:34:24,R_dhV2qpKy8RMWX2u,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,1-5,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611851,0,control,0,0,0
2021-11-08 13:34:24,2021-11-08 13:34:24,Survey Test,,100,0,1,2021-11-08 13:34:24,R_cYcmOenvUMS10pM,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,No,,More than 10,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48096,1,reduced_list,1,0,0
2021-11-08 13:34:24,2021-11-08 13:34:24,Survey Test,,100,0,1,2021-11-08 13:34:24,R_0jFWuKgIL8lCpo2,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738159,,,,,
2021-11-08 13:34:24,2021-11-08 13:34:24,Survey Test,,100,0,1,2021-11-08 13:34:24,R_3DIFOUHVVO0YX6m,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,Yes,,5-10,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675455,0,control,0,0,0
2021-11-08 13:34:24,2021-11-08 13:34:24,Survey Test,,100,0,1,2021-11-08 13:34:24,R_efb7OyvuooCYfdQ,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,1-5,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23691,1,reduced_list,1,0,0
2021-11-08 13:34:24,2021-11-08 13:34:25,Survey Test,,100,1,1,2021-11-08 13:34:25,R_4OuDjL52Mg1c3KS,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,5-10,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468050,2,ranking,0,1,0
2021-11-08 13:34:25,2021-11-08 13:34:25,Survey Test,,100,0,1,2021-11-08 13:34:25,R_6CZ5x2spV6iVZQO,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,More than 10,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809158,3,categorization,0,0,1
2021-11-08 13:34:25,2021-11-08 13:34:25,Survey Test,,100,0,1,2021-11-08 13:34:25,R_6GtNhvOH8KQPWw6,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,More than 10,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500834,0,control,0,0,0
2021-11-08 13:34:25,2021-11-08 13:34:25,Survey Test,,100,0,1,2021-11-08 13:34:25,R_eaiZx84cUkNFlae,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,1-5,Other,30,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246564,2,ranking,0,1,0
2021-11-08 13:34:25,2021-11-08 13:34:25,Survey Test,,100,0,1,2021-11-08 13:34:25,R_0CGaYxx2ggyoIFo,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,No,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838093,,,,,
2021-11-08 13:34:25,2021-11-08 13:34:25,Survey Test,,100,0,1,2021-11-08 13:34:25,R_6XXRUMX6oIoioya,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,More than 10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778592,3,categorization,0,0,1
2021-11-08 13:34:25,2021-11-08 13:34:26,Survey Test,,100,1,1,2021-11-08 13:34:26,R_eA18X3WxDO47ZgW,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,1-5,Other,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72062,1,reduced_list,1,0,0
2021-11-08 13:34:26,2021-11-08 13:34:26,Survey Test,,100,0,1,2021-11-08 13:34:26,R_6mobTICESrtJDJc,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,1-5,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346638,0,control,0,0,0
2021-11-08 13:34:26,2021-11-08 13:34:26,Survey Test,,100,0,1,2021-11-08 13:34:26,R_2lYMy4uOKHHkWgu,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,5-10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21036,1,reduced_list,1,0,0
2021-11-08 13:34:26,2021-11-08 13:34:26,Survey Test,,100,0,1,2021-11-08 13:34:26,R_6VuJg8a1j7SWMqq,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,1-5,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691730,3,categorization,0,0,1
2021-11-08 13:34:26,2021-11-08 13:34:26,Survey Test,,100,0,1,2021-11-08 13:34:26,R_agx4CRHdIrgqOkC,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,More than 10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158881,2,ranking,0,1,0
2021-11-08 13:34:26,2021-11-08 13:34:26,Survey Test,,100,0,1,2021-11-08 13:34:26,R_b3GJFBdpUq47HxA,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,5-10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923454,0,control,0,0,0
2021-11-08 13:34:27,2021-11-08 13:34:27,Survey Test,,100,0,1,2021-11-08 13:34:27,R_9Ze8mLnX4yaZ74a,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,5-10,Other,80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402330,3,categorization,0,0,1
2021-11-08 13:34:27,2021-11-08 13:34:27,Survey Test,,100,0,1,2021-11-08 13:34:27,R_9zR2HJYncCPAzMq,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,5-10,Other,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405275,2,ranking,0,1,0
2021-11-08 13:34:27,2021-11-08 13:34:27,Survey Test,,100,0,1,2021-11-08 13:34:27,R_5ANemE6wQ4IWi1w,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,1-5,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534881,1,reduced_list,1,0,0
2021-11-08 13:34:27,2021-11-08 13:34:27,Survey Test,,100,0,1,2021-11-08 13:34:27,R_3pJaRFcqrPilZu6,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,1-5,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181815,0,control,0,0,0
2021-11-08 13:34:27,2021-11-08 13:34:27,Survey Test,,100,0,1,2021-11-08 13:34:27,R_5bUrVWzam8MomB8,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392338,,,,,
2021-11-08 13:34:27,2021-11-08 13:34:27,Survey Test,,100,0,1,2021-11-08 13:34:28,R_3TKDr4Nuof5ViFU,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,1-5,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708901,3,categorization,0,0,1
2021-11-08 13:34:28,2021-11-08 13:34:28,Survey Test,,100,0,1,2021-11-08 13:34:28,R_5bQeVXo1Ktu54F0,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393629,,,,,
2021-11-08 13:34:28,2021-11-08 13:34:28,Survey Test,,100,0,1,2021-11-08 13:34:28,R_dg2d1TV4SrfZFu6,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,More than 10,Other,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285285,1,reduced_list,1,0,0
2021-11-08 13:34:28,2021-11-08 13:34:28,Survey Test,,100,0,1,2021-11-08 13:34:28,R_1T9MouPOqGpbEVM,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,1-5,Other,50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667125,2,ranking,0,1,0
2021-11-08 13:34:28,2021-11-08 13:34:28,Survey Test,,100,0,1,2021-11-08 13:34:28,R_24O7MbXh89oQzlQ,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,No,,5-10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373458,3,categorization,0,0,1
2021-11-08 13:34:28,2021-11-08 13:34:28,Survey Test,,100,0,1,2021-11-08 13:34:28,R_1IffmhcJKtx6mai,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880235,,,,,
2021-11-08 13:34:28,2021-11-08 13:34:29,Survey Test,,100,1,1,2021-11-08 13:34:29,R_9S0NofIIewmDCAu,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,No,,5-10,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475023,1,reduced_list,1,0,0
2021-11-08 13:34:29,2021-11-08 13:34:29,Survey Test,,100,0,1,2021-11-08 13:34:29,R_9oTRqzS3aQvl1pY,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,More than 10,Other,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924426,2,ranking,0,1,0
2021-11-08 13:34:29,2021-11-08 13:34:29,Survey Test,,100,0,1,2021-11-08 13:34:29,R_ezywexrBfJrl39Q,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,5-10,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528630,0,control,0,0,0
2021-11-08 13:34:29,2021-11-08 13:34:29,Survey Test,,100,0,1,2021-11-08 13:34:29,R_9sE6If2nxeKJyFE,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,1-5,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590148,0,control,0,0,0
2021-11-08 13:34:29,2021-11-08 13:34:29,Survey Test,,100,0,1,2021-11-08 13:34:29,R_5heTuoVUtWqEspU,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,More than 10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410186,1,reduced_list,1,0,0
2021-11-08 13:34:29,2021-11-08 13:34:29,Survey Test,,100,0,1,2021-11-08 13:34:29,R_bQOCITv7DS1R1K6,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,5-10,Other,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203572,3,categorization,0,0,1
2021-11-08 13:34:30,2021-11-08 13:34:30,Survey Test,,100,0,1,2021-11-08 13:34:30,R_7WgUjOY9qct8pHU,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,Yes,,1-5,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563246,2,ranking,0,1,0
2021-11-08 13:34:30,2021-11-08 13:34:30,Survey Test,,100,0,1,2021-11-08 13:34:30,R_8qckHfrfh0qmKQm,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,1-5,Other,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811697,0,control,0,0,0
2021-11-08 13:34:30,2021-11-08 13:34:30,Survey Test,,100,0,1,2021-11-08 13:34:30,R_9MQ3dDOUnlgatIG,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,Yes,,More than 10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675309,2,ranking,0,1,0
